シンボル, 内容
AUS200Cash, ASX 200（オーストラリア証券取引所株価指数）：現物
EU50Cash, EURO STOCKS 50（ユーロ・ストックス50指数）：現物
FRA40Cash, CAC 40（フランスのベンチマーク株価指数）：現物
GER30Cash, DAX（ドイツ株価指数）：現物
HK50Cash, HSI（ハンセン株価指数）：現物
IT40Cash, FTSE MIB（イタリア証券取引所株価指数）：現物
JP225Cash, Nikkei 225（日経平均株価）：現物
NETH25Cash, NETHERLAND 25（オランダ株価指数）：現物
SPAIN35Cash, IBEX (マドリード証券取引所株価指数)：現物
SWI20Cash, SWI 20（スイス株価指数）：現物
UK100Cash, FTSE 100（フィナンシャル・タイムズ100種総合株価指数）：現物
US100Cash, NASDAQ 100（NASDAQ100指数）：現物
US30Cash, DOW JONES（Dow Jones工業株価平均）：現物
US500Cash, S&P 500（スタンダード・アンド・プアーズ500種指数）：現物
EU50, EURO STOCKS 50（ユーロ・ストックス50指数）：先物
FRA40, CAC 40（フランスのベンチマーク株価指数）：先物
GER30, DAX（ドイツ株価指数）：先物
JP225, Nikkei 225（日経平均株価）：先物
SWI20, SWI 20（スイス株価指数）：先物
UK100, FTSE 100（フィナンシャル・タイムズ100種総合株価指数）：先物
US100, NASDAQ 100（NASDAQ100指数）：先物
US30, DOW JONES（Dow Jones工業株価平均）：先物
US500, S&P 500（スタンダード・アンド・プアーズ500種指数）：先物
USX, USDX（米ドル指数）：先物
