銘柄, 1/16, 1/17
COFFE-MAR23, 閉鎖, 通常時間
CORN-MAR23,	閉鎖,通常時間
COTTO-MAR23, 閉鎖, 通常時間
COCOA-MAR23, 閉鎖, 通常時間
SBEAN-MAR23, 閉鎖, 通常時間
SUGAR-MAR23, 閉鎖,	通常時間
WHEAT-MAR23, 閉鎖,	通常時間
HGCOP-MAR23, 21:25に早い閉場,	通常時間
NGAS-FEB23,	21:25に早い閉場, 通常時間
OIL-FEB23, 21:25に早い閉場, 通常時間
OILMn-FEB23, 21:25に早い閉場,	通常時間
GOLD, 21:25に早い閉場, 通常時間
SILVER,	21:25に早い閉場, 通常時間
PALL-MAR23,	21:25に早い閉場, 通常時間
PLAT-APR23,	21:25に早い閉場, 通常時間
GER40-MAR23, 22:55に早い閉場, 通常時間
GER40Cash, 22:55に早い閉場, 通常時間
UK100-MAR23, 22:55に早い閉場,	通常時間
UK100cash, 22:55に早い閉場, 通常時間
JP225-MAR23, 19:55に早い閉場,	通常時間
JP225Cash, 19:55に早い閉場, 通常時間
US30-MAR23,	19:55に早い閉場, 通常時間
US30Cash, 19:55に早い閉場, 通常時間
US100-MAR23, 19:55に早い閉場,	通常時間
US100Cash, 19:55に早い閉場, 通常時間
US500-MAR23, 19:55に早い閉場,	通常時間
US500Cash, 19:55に早い閉場, 通常時間
USDX-MAR23,	19:55に早い閉場, 通常時間
