銘柄, 月曜日, 火曜日–木曜日, 金曜日, 期間
COCOA-DEC23, 11:50 – 19:25, 11:50 – 19:25, 11:50 – 19:25, 10月30日–11月3日
COFFE-DEC23, 11:20 – 19:25, 11:20 – 19:25, 11:20 – 19:25, 10月30日–11月3日
CORN-DEC23, 02:05 – 14:40<br />15:35 – 20:10, 02:05 – 14:40<br />15:35 – 20:10, 02:05 – 14:40<br />15:35 – 20:10, 10月30日–11月3日
SBEAN-JAN24, 02:05 – 14:40<br />15:35 – 20:10, 02:05 – 14:40<br />15:35 – 20:10, 02:05 – 14:40<br />15:35 – 20:10, 10月30日–11月3日
WHEAT-DEC23, 02:05 – 14:40<br />15:35 – 20:10, 02:05 – 14:40<br />15:35 – 20:10, 02:05 – 14:40<br />15:35 – 20:10, 10月30日–11月3日
COTTO-DEC23, 03:05 – 20:15, 03:05 – 20:15, 03:05 – 20:15, 10月30日–11月3日
HGCOP-DEC23, 00:05 – 22:55, 00:05 – 22:55, 00:05 – 22:10, 10月30日–11月3日
SUGAR-MAR24, 10:35 – 18:55, 10:35 – 18:55, 10:35 – 18:55, 10月30日–11月3日
US100-DEC23, 00:05 – 22:55, 00:05 – 22:55, 00:05 – 22:50, 10月30日–11月3日
US100Cash, 00:05 – 22:55, 00:05 – 22:55, 00:05 – 22:50, 10月30日–11月3日
US30-DEC23, 00:05 – 22:55, 00:05 – 22:55, 00:05 – 22:50, 10月30日–11月3日
US30Cash, 00:05 – 22:55, 00:05 – 22:55, 00:05 – 22:50, 10月30日–11月3日
US500-DEC23, 00:05 – 22:55, 00:05 – 22:55, 00:05 – 22:50, 10月30日–11月3日
US500Cash, 00:05 – 22:55, 00:05 – 22:55, 00:05 – 22:50, 10月30日–11月3日
USDX-DEC23, 02:05 – 22:55, 02:05 – 22:55, 02:05 – 22:10, 10月30日–11月3日
JP225-DEC23, 00:05 – 22:55, 00:05 – 22:55, 00:05 – 22:50, 10月30日–11月3日
JP225Cash, 00:05 – 22:55, 00:05 – 22:55, 00:05 – 22:50, 10月30日–11月3日
PALL-DEC23, 00:05 – 22:55, 00:05 – 22:55, 00:05 – 22:10, 10月30日–11月3日
PLAT-JAN24, 00:05 – 22:55, 00:05 – 22:55, 00:05 – 22:10, 10月30日–11月3日
NGAS-DEC23, 00:05 – 22:55, 00:05 – 22:55, 00:05 – 22:10, 10月30日–11月3日
NGASCash, 00:05 – 22:55, 00:05 – 22:55, 00:05 – 22:10, 10月30日–11月3日
OIL-DEC23, 00:05 – 22:55, 00:05 – 22:55, 00:05 – 22:10, 10月30日–11月3日
OILMn-DEC23, 00:05 – 22:55, 00:05 – 22:55, 00:05 – 22:10, 10月30日–11月3日
OILCash, 00:05 – 22:55, 00:05 – 22:55, 00:05 – 22:10, 10月30日–11月3日
BRENT-JAN24, 02:05 – 23:55, 02:05 – 23:55, 02:05 – 22:10, 10月30日–11月3日
BRENTCash, 02:05 – 23:55, 02:05 – 23:55, 02:05 – 22:10, 10月30日–11月3日
GSOIL-NOV23, 02:05 – 22:55, 02:05 – 22:55, 02:05 – 22:10, 10月30日–11月3日
AUS200Cash, 01:55 – 08:25<br />09:15 – 22:55, 01:55 – 08:25<br />09:15 – 22:55, 01:55 – 08:25<br />09:15 – 22:45</p>
<td>10月2日–10月27日
AUS200Cash, 00:55 – 07:25<br />08:15 – 21:55, 00:55 – 07:25<br />08:15 – 21:55, 00:55 – 07:25<br />08:15 – 21:45</p>
<td>10月30日–11月3日
AUS200Cash, 00:55 – 07:25<br />08:15 – 22:55, 00:55 – 07:25<br />08:15 – 22:55, 00:55 – 07:25<br />08:15 – 22:45</p>
<td>11月6日以降
HK50Cash, 03:20 – 05:55<br />07:05 – 10:25<br />11:20 – 20:55, 03:20 – 05:55<br />07:05 – 10:25<br />11:20 – 20:55, 03:20 – 05:55<br />07:05 – 10:25<br />11:20 – 20:55, 10月30日以降
UK100Cash, 00:10 – 22:55, 00:05 – 22:55, 00:05 – 22:50, 10月30日–11月3日
UK100-DEC23, 00:10 – 22:55, 00:05 – 22:55, 00:05 – 22:50, 10月30日–11月3日
GER40Cash, 00:10 – 01:55<br />02:20 – 22:55, 00:10 – 01:55<br />02:20 – 22:55, 00:10 – 01:55<br />02:20 – 22:55, 10月30日–11月3日
GER40-DEC23, 00:10 – 01:55<br />02:20 – 22:55, 00:10 – 01:55<br />02:20 – 22:55, 00:10 – 01:55<br />02:20 – 22:55, 10月30日–11月3日
EU50Cash, 02:20 – 22:55, 02:20 – 22:55, 02:20 – 22:55, 10月30日–11月3日
EU50-DEC23, 02:20 – 22:55, 02:20 – 22:55, 02:20 – 22:55, 10月30日–11月3日
China50Cash, 03:05 – 10:25<br />11:05 – 22:40, 03:05 – 10:25<br />11:05 – 22:40, 03:05 – 10:25<br />11:05 – 22:40, 10月30日–11月3日
Sing30Cash, 02:35 – 11:15<br />11:55 – 22:40, 02:35 – 11:15<br />11:55 – 22:40, 02:35 – 11:15<br />11:55 – 22:40, 10月30日–11月3日
US2000Cash, 00:05 – 22:55, 00:05 – 22:55, 00:05 – 22:50, 10月30日–11月3日
VIX-NOV23, 00:05 – 22:45, 00:05 – 22:45, 00:05 – 22:00, 10月30日–11月3日
CA60Cash, 15:35 – 22:10, 15:35 – 22:10, 15:35 – 22:10, 10月30日–11月3日
